Day,Need_person,Need_Degree_A,Need_Degree_B,Need_Degree_C
1,15,1,2,12
2,15,1,2,12
3,14,1,2,11
4,8,1,1,6
5,13,1,1,11
6,10,1,1,8
7,16,1,1,14
8,12,1,1,10
9,10,1,1,8
10,8,1,0,7
11,8,1,0,7
12,12,1,1,10
13,14,1,2,11
14,16,1,1,14
15,15,1,2,12
16,9,1,0,8
17,14,1,2,11
18,15,1,2,12
19,12,1,1,10
20,9,1,0,8
21,14,1,1,12
22,14,1,1,12
23,10,1,1,8
24,13,1,1,11
25,12,1,1,10
26,14,1,1,12
27,9,1,0,8
28,9,1,1,7
29,16,1,2,13
30,10,1,1,8
31,13,1,1,11
32,13,1,1,11
33,9,1,1,7
34,14,1,2,11
35,12,1,1,10
36,12,1,1,10
37,11,1,1,9
38,15,1,2,12
39,8,1,1,6
40,8,1,0,7
41,10,1,1,8
42,12,1,1,10
43,11,1,1,9
44,13,1,1,11
45,14,1,2,11
46,15,1,2,12
47,15,1,1,13
48,15,1,1,13
49,15,1,1,13
50,9,1,0,8
51,10,1,1,8
52,14,1,1,12
53,13,1,1,11
54,8,1,1,6
55,10,1,1,8
56,12,1,1,10
57,16,1,1,14
58,9,1,1,7
59,16,1,1,14
60,12,1,1,10
61,11,1,1,9
62,8,1,1,6
63,14,1,1,12
64,13,1,1,11
65,16,1,2,13
66,14,1,1,12
67,10,1,1,8
68,10,1,1,8
69,11,1,1,9
70,9,1,0,8
71,15,1,2,12
72,8,1,0,7
73,11,1,1,9
74,11,1,1,9
75,10,1,1,8
76,13,1,1,11
77,12,1,1,10
78,9,1,1,7
79,9,1,0,8
80,12,1,1,10
81,16,1,1,14
82,11,1,1,9
83,11,1,1,9
84,9,1,0,8
85,8,1,0,7
86,8,1,0,7
87,10,1,1,8
88,11,1,1,9
89,15,1,1,13
90,8,1,0,7
